Date,Price
2026-01-02 08:00:00,750
2026-01-05 08:00:00,805
2026-01-06 08:00:00,865
2026-01-07 08:00:00,925
2026-01-08 08:00:00,990
2026-01-09 08:00:00,1060
2026-01-12 08:00:00,1135
2026-01-13 08:00:00,1100
2026-01-14 08:00:00,1135
2026-01-15 08:00:00,1220
2026-01-16 08:00:00,1310
2026-01-19 08:00:00,1395
2026-01-20 08:00:00,1300
2026-01-21 08:00:00,1310
2026-01-22 08:00:00,1310
2026-01-23 08:00:00,1310
2026-01-26 08:00:00,1315
2026-01-27 08:00:00,1345
2026-01-28 08:00:00,1380
2026-01-29 08:00:00,1480
2026-01-30 08:00:00,1590
2026-02-02 08:00:00,1705
2026-02-03 08:00:00,1785
2026-02-04 08:00:00,1915
2026-02-05 08:00:00,2055
2026-02-06 08:00:00,2205
2026-02-09 08:00:00,2355
2026-02-10 08:00:00,2530
2026-02-11 08:00:00,2715
2026-02-12 08:00:00,2515
2026-02-13 08:00:00,2330
2026-02-16 08:00:00,2160
2026-02-17 08:00:00,2320
2026-02-18 08:00:00,2490
2026-02-19 08:00:00,2565
2026-02-20 08:00:00,2650
2026-02-23 08:00:00,2455
2026-02-24 08:00:00,2500
2026-02-25 08:00:00,2415
2026-02-26 08:00:00,2385
2026-02-27 08:00:00,2325
