Date,Price
2025-02-21 08:00:00,14995
2025-02-24 08:00:00,15000
2025-02-25 08:00:00,15000
2025-02-26 08:00:00,14105
2025-02-27 08:00:00,14995
2025-02-28 08:00:00,15000
2025-03-03 08:00:00,14995
2025-03-04 08:00:00,14995
2025-03-05 08:00:00,14800
2025-03-06 08:00:00,14800
2025-03-07 08:00:00,14850
2025-03-10 08:00:00,14800
2025-03-11 08:00:00,14700
2025-03-12 08:00:00,14700
2025-03-13 08:00:00,14010
2025-03-14 08:00:00,14800
2025-03-17 08:00:00,14800
2025-03-18 08:00:00,14600
2025-03-19 08:00:00,14600
2025-03-20 08:00:00,14500
2025-03-21 08:00:00,14500
2025-03-24 08:00:00,14500
2025-03-25 08:00:00,14500
2025-03-26 08:00:00,14495
2025-03-28 08:00:00,14400
2025-04-01 08:00:00,14500
2025-04-02 08:00:00,13950
2025-04-03 08:00:00,14495
2025-04-04 08:00:00,14400
2025-04-07 08:00:00,14200
2025-04-08 08:00:00,14500
2025-04-09 08:00:00,14500
2025-04-10 08:00:00,14495
2025-04-11 08:00:00,14400
2025-04-14 08:00:00,13995
2025-04-15 08:00:00,13500
2025-04-16 08:00:00,14200
2025-04-17 08:00:00,14195
2025-04-18 08:00:00,14195
2025-04-22 08:00:00,14000
2025-04-23 08:00:00,14000
2025-04-24 08:00:00,14000
2025-04-25 08:00:00,14000
2025-04-28 08:00:00,13950
2025-04-29 08:00:00,13800
2025-04-30 08:00:00,13800
2025-05-02 08:00:00,13800
2025-05-05 08:00:00,13945
2025-05-06 08:00:00,14000
2025-05-07 08:00:00,14500
2025-05-08 08:00:00,14800
2025-05-09 08:00:00,14995
2025-05-12 08:00:00,14995
2025-05-13 08:00:00,14995
2025-05-14 08:00:00,14900
2025-05-15 08:00:00,14995
2025-05-16 08:00:00,15000
2025-05-19 08:00:00,15000
2025-05-20 08:00:00,16000
2025-05-21 08:00:00,17200
2025-05-22 08:00:00,17195
2025-05-23 08:00:00,17000
2025-05-26 08:00:00,15750
2025-05-27 08:00:00,16900
2025-05-28 08:00:00,16900
2025-05-30 08:00:00,16900
2025-06-02 08:00:00,16900
2025-06-03 08:00:00,16900
2025-06-04 08:00:00,16900
2025-06-05 08:00:00,16205
2025-06-10 08:00:00,15765
2025-06-11 08:00:00,15805
2025-06-12 08:00:00,16975
2025-06-13 08:00:00,16300
2025-06-16 08:00:00,16975
2025-06-17 08:00:00,17200
2025-06-18 08:00:00,18480
2025-06-19 08:00:00,18400
2025-06-20 08:00:00,18375
2025-06-23 08:00:00,18040
2025-06-24 08:00:00,18040
2025-06-25 08:00:00,18000
2025-06-26 08:00:00,16800
2025-06-27 08:00:00,16815
2025-06-30 08:00:00,16820
2025-07-01 08:00:00,16820
2025-07-02 08:00:00,17290
2025-07-03 08:00:00,17975
2025-07-04 08:00:00,19320
2025-07-07 08:00:00,19315
2025-07-08 08:00:00,17870
2025-07-09 08:00:00,17000
2025-07-10 08:00:00,17000
2025-07-11 08:00:00,18275
2025-07-14 08:00:00,19320
2025-07-15 08:00:00,19000
2025-07-16 08:00:00,18950
2025-07-17 08:00:00,18300
2025-07-18 08:00:00,18400
2025-07-21 08:00:00,18300
2025-07-22 08:00:00,18300
2025-07-23 08:00:00,19000
2025-07-24 08:00:00,19320
2025-07-25 08:00:00,18600
2025-07-28 08:00:00,18500
2025-07-29 08:00:00,19000
2025-07-30 08:00:00,19000
2025-07-31 08:00:00,18600
2025-08-01 08:00:00,18450
2025-08-04 08:00:00,18500
2025-08-05 08:00:00,18595
2025-08-06 08:00:00,18600
2025-08-08 08:00:00,18600
2025-08-11 08:00:00,18000
2025-08-12 08:00:00,17645
2025-08-13 08:00:00,18000
2025-08-14 08:00:00,17645
2025-08-18 08:00:00,17660
2025-08-19 08:00:00,18595
2025-08-20 08:00:00,17655
2025-08-21 08:00:00,18000
2025-08-22 08:00:00,18690
2025-08-25 08:00:00,18500
2025-08-26 08:00:00,18745
2025-08-27 08:00:00,18745
2025-08-28 08:00:00,18730
2025-08-29 08:00:00,18740
2025-09-01 08:00:00,18700
2025-09-02 08:00:00,18700
2025-09-03 08:00:00,18680
2025-09-05 08:00:00,18690
2025-09-08 08:00:00,18600
2025-09-09 08:00:00,18685
2025-09-10 08:00:00,18600
2025-09-11 08:00:00,18650
2025-09-12 08:00:00,18530
2025-09-15 08:00:00,18670
2025-09-16 08:00:00,18665
2025-09-17 08:00:00,18665
2025-09-18 08:00:00,18665
2025-09-19 08:00:00,18675
2025-09-22 08:00:00,18675
2025-09-23 08:00:00,18575
2025-09-24 08:00:00,18000
2025-09-25 08:00:00,18100
2025-09-26 08:00:00,18450
2025-09-29 08:00:00,18100
2025-09-30 08:00:00,18000
2025-10-01 08:00:00,18000
2025-10-02 08:00:00,17505
2025-10-03 08:00:00,17800
2025-10-06 08:00:00,18500
2025-10-07 08:00:00,18550
2025-10-08 08:00:00,18550
2025-10-09 08:00:00,19215
2025-10-10 08:00:00,18500
2025-10-13 08:00:00,17800
2025-10-14 08:00:00,17850
2025-10-15 08:00:00,19185
2025-10-16 08:00:00,19185
2025-10-17 08:00:00,19500
2025-10-20 08:00:00,19450
2025-10-21 08:00:00,18000
2025-10-22 08:00:00,18005
2025-10-23 08:00:00,18005
2025-10-24 08:00:00,18010
2025-10-27 08:00:00,18500
2025-10-28 08:00:00,18500
2025-10-29 08:00:00,19885
2025-10-30 08:00:00,21375
2025-10-31 08:00:00,22975
2025-11-03 08:00:00,24695
2025-11-04 08:00:00,25000
2025-11-05 08:00:00,24995
2025-11-06 08:00:00,24000
2025-11-07 08:00:00,24500
2025-11-10 08:00:00,25000
2025-11-11 08:00:00,24700
2025-11-12 08:00:00,24900
2025-11-13 08:00:00,24995
2025-11-14 08:00:00,24995
2025-11-17 08:00:00,25005
2025-11-18 08:00:00,26850
2025-11-19 08:00:00,28860
2025-11-20 08:00:00,28500
2025-11-21 08:00:00,27005
2025-11-24 08:00:00,28000
2025-11-25 08:00:00,27010
2025-11-26 08:00:00,28000
2025-11-27 08:00:00,27500
2025-11-28 08:00:00,27100
2025-12-01 08:00:00,28000
2025-12-02 08:00:00,28000
2025-12-03 08:00:00,28000
2025-12-04 08:00:00,28000
2025-12-05 08:00:00,28000
2025-12-08 08:00:00,28100
2025-12-09 08:00:00,28200
2025-12-10 08:00:00,28005
2025-12-11 08:00:00,26125
2025-12-12 08:00:00,26700
2025-12-15 08:00:00,28700
2025-12-16 08:00:00,28860
2025-12-17 08:00:00,28850
2025-12-18 08:00:00,28800
2025-12-19 08:00:00,28800
2025-12-22 08:00:00,28800
2025-12-23 08:00:00,28800
2025-12-24 08:00:00,28010
2025-12-26 08:00:00,28975
2025-12-29 08:00:00,28595
2025-12-30 08:00:00,28500
2025-12-31 08:00:00,28900
2026-01-02 08:00:00,28500
2026-01-05 08:00:00,28800
2026-01-06 08:00:00,27505
2026-01-07 08:00:00,27500
2026-01-08 08:00:00,28850
2026-01-09 08:00:00,27600
2026-01-12 08:00:00,29450
2026-01-13 08:00:00,28865
2026-01-14 08:00:00,29295
2026-01-15 08:00:00,27620
2026-01-16 08:00:00,29300
2026-01-19 08:00:00,29300
2026-01-20 08:00:00,27770
2026-01-21 08:00:00,28300
2026-01-22 08:00:00,28300
2026-01-23 08:00:00,28295
2026-01-26 08:00:00,28295
2026-01-27 08:00:00,28200
2026-01-28 08:00:00,28000
2026-01-29 08:00:00,28000
2026-01-30 08:00:00,28000
2026-02-02 08:00:00,28000
2026-02-03 08:00:00,27990
2026-02-04 08:00:00,28000
2026-02-05 08:00:00,28000
2026-02-06 08:00:00,28855
2026-02-09 08:00:00,28865
2026-02-10 08:00:00,30100
2026-02-11 08:00:00,30000
2026-02-12 08:00:00,30650
2026-02-13 08:00:00,31020
2026-02-16 08:00:00,31030
2026-02-17 08:00:00,32495
2026-02-18 08:00:00,34000
2026-02-19 08:00:00,33065
2026-02-20 08:00:00,35540
