Date,Price
2025-03-04 08:00:00,8500
2025-03-05 08:00:00,9045
2025-03-06 08:00:00,9100
2025-03-07 08:00:00,9550
2025-03-10 08:00:00,9700
2025-03-11 08:00:00,9600
2025-03-12 08:00:00,9995
2025-03-13 08:00:00,9985
2025-03-14 08:00:00,9980
2025-03-17 08:00:00,9700
2025-03-18 08:00:00,10000
2025-03-19 08:00:00,9610
2025-03-20 08:00:00,9630
2025-03-21 08:00:00,10195
2025-03-24 08:00:00,10000
2025-03-25 08:00:00,9600
2025-03-26 08:00:00,9990
2025-03-28 08:00:00,9950
2025-04-01 08:00:00,9995
2025-04-02 08:00:00,9990
2025-04-03 08:00:00,9900
2025-04-04 08:00:00,9900
2025-04-07 08:00:00,9900
2025-04-08 08:00:00,9900
2025-04-09 08:00:00,9880
2025-04-10 08:00:00,9780
2025-04-11 08:00:00,9750
2025-04-14 08:00:00,9745
2025-04-15 08:00:00,9745
2025-04-16 08:00:00,9750
2025-04-17 08:00:00,9750
2025-04-18 08:00:00,9740
2025-04-22 08:00:00,9750
2025-04-23 08:00:00,9500
2025-04-24 08:00:00,9550
2025-04-25 08:00:00,9500
2025-04-28 08:00:00,9550
2025-04-29 08:00:00,9700
2025-04-30 08:00:00,9695
2025-05-02 08:00:00,9500
2025-05-05 08:00:00,9700
2025-05-06 08:00:00,10000
2025-05-07 08:00:00,9505
2025-05-08 08:00:00,10215
2025-05-09 08:00:00,10980
2025-05-12 08:00:00,11800
2025-05-13 08:00:00,12685
2025-05-14 08:00:00,13635
2025-05-15 08:00:00,14655
2025-05-16 08:00:00,15750
2025-05-19 08:00:00,16930
2025-05-20 08:00:00,16900
2025-05-21 08:00:00,16890
2025-05-22 08:00:00,16850
2025-05-23 08:00:00,16850
2025-05-26 08:00:00,16500
2025-05-27 08:00:00,17490
2025-05-28 08:00:00,17495
2025-05-30 08:00:00,17505
2025-06-02 08:00:00,18485
2025-06-03 08:00:00,17105
2025-06-04 08:00:00,17700
2025-06-05 08:00:00,18000
2025-06-10 08:00:00,18200
2025-06-11 08:00:00,18200
2025-06-12 08:00:00,18200
2025-06-13 08:00:00,18000
2025-06-16 08:00:00,18050
2025-06-17 08:00:00,18000
2025-06-18 08:00:00,18000
2025-06-19 08:00:00,17995
2025-06-20 08:00:00,18000
2025-06-23 08:00:00,17510
2025-06-24 08:00:00,17995
2025-06-25 08:00:00,17800
2025-06-26 08:00:00,18000
2025-06-27 08:00:00,17900
2025-06-30 08:00:00,17950
2025-07-01 08:00:00,17905
2025-07-02 08:00:00,17950
2025-07-03 08:00:00,17965
2025-07-04 08:00:00,18300
2025-07-07 08:00:00,18300
2025-07-08 08:00:00,18300
2025-07-09 08:00:00,18740
2025-07-10 08:00:00,18510
2025-07-11 08:00:00,18600
2025-07-14 08:00:00,18350
2025-07-15 08:00:00,18330
2025-07-16 08:00:00,18190
2025-07-17 08:00:00,18250
2025-07-18 08:00:00,18500
2025-07-21 08:00:00,18430
2025-07-22 08:00:00,19600
2025-07-23 08:00:00,19995
2025-07-24 08:00:00,20000
2025-07-25 08:00:00,19995
2025-07-28 08:00:00,20000
2025-07-29 08:00:00,20000
2025-07-30 08:00:00,19500
2025-07-31 08:00:00,19690
2025-08-01 08:00:00,19890
2025-08-04 08:00:00,19850
2025-08-05 08:00:00,19840
2025-08-06 08:00:00,19995
2025-08-08 08:00:00,20085
2025-08-11 08:00:00,20700
2025-08-12 08:00:00,20660
2025-08-13 08:00:00,20700
2025-08-14 08:00:00,20700
2025-08-18 08:00:00,20985
2025-08-19 08:00:00,21485
2025-08-20 08:00:00,21500
2025-08-21 08:00:00,21490
2025-08-22 08:00:00,21450
2025-08-25 08:00:00,21490
2025-08-26 08:00:00,21450
2025-08-27 08:00:00,19600
2025-08-28 08:00:00,19005
2025-08-29 08:00:00,18900
2025-09-01 08:00:00,18700
2025-09-02 08:00:00,18900
2025-09-03 08:00:00,18900
2025-09-05 08:00:00,19300
2025-09-08 08:00:00,19270
2025-09-09 08:00:00,19100
2025-09-10 08:00:00,18900
2025-09-11 08:00:00,19295
2025-09-12 08:00:00,19250
2025-09-15 08:00:00,19250
2025-09-16 08:00:00,19260
2025-09-17 08:00:00,19195
2025-09-18 08:00:00,18910
2025-09-19 08:00:00,19200
2025-09-22 08:00:00,19200
2025-09-23 08:00:00,19140
2025-09-24 08:00:00,19140
2025-09-25 08:00:00,19100
2025-09-26 08:00:00,18995
2025-09-29 08:00:00,18995
2025-09-30 08:00:00,19000
2025-10-01 08:00:00,19095
2025-10-02 08:00:00,19195
